PTS test results for HFP

PTS version: 6.1
Tested: 14-May-2015
Android version: 5.1

Results:
PASS	test passed
FAIL	test failed
INC	test is inconclusive
N/A	test is disabled due to PICS setup

-------------------------------------------------------------------------------
Test Name		Result	Notes
-------------------------------------------------------------------------------
TC_AG_OOR_BV_01_I	PASS
TC_AG_OOR_BV_02_I	PASS
TC_AG_TRS_BV_01_I	PASS
TC_AG_PSI_BV_01_I	PASS
TC_AG_PSI_BV_02_I	N/A
TC_AG_PSI_BV_03_I	PASS
TC_AG_PSI_BV_04_I	PASS
TC_AG_PSI_BV_05_I	PASS
TC_AG_ACS_BV_02_I	N/A
TC_AG_ACS_BV_04_I	PASS
TC_AG_ACS_BV_06_I	N/A
TC_AG_ACS_BV_08_I	PASS
TC_AG_ACS_BV_10_I	N/A
TC_AG_ACS_BV_11_I	PASS
TC_AG_ACS_BI_14_I	PASS
TC_AG_ACS_BI_16_I	N/A
TC_AG_ACR_BV_01_I	PASS
TC_AG_ACR_BV_02_I	PASS
TC_AG_CLI_BV_01_I	PASS
TC_AG_ICA_BV_01_I	N/A
TC_AG_ICA_BV_02_I	N/A
TC_AG_ICA_BV_04_I	PASS
TC_AG_ICA_BV_05_I	N/A
TC_AG_ICA_BV_06_I	PASS
TC_AG_ICR_BV_01_I	PASS
TC_AG_ICR_BV_02_I	PASS
TC_AG_TCA_BV_01_I	PASS
TC_AG_TCA_BV_02_I	PASS
TC_AG_TCA_BV_03_I	PASS
TC_AG_TCA_BV_04_I	PASS
TC_AG_TCA_BV_05_I	PASS
TC_AG_ATH_BV_03_I	PASS
TC_AG_ATH_BV_04_I	PASS
TC_AG_ATH_BV_05_I	PASS
TC_AG_ATH_BV_06_I	PASS
TC_AG_ATA_BV_01_I	PASS
TC_AG_ATA_BV_02_I	PASS
TC_AG_OCN_BV_01_I	PASS
TC_AG_OCM_BV_01_I	PASS
TC_AG_OCM_BV_02_I	PASS
TC_AG_OCL_BV_01_I	PASS
TC_AG_OCL_BV_02_I	PASS
TC_AG_TWC_BV_01_I	PASS
TC_AG_TWC_BV_02_I	PASS
TC_AG_TWC_BV_03_I	PASS
TC_AG_TWC_BV_04_I	PASS
TC_AG_TWC_BV_05_I	PASS
TC_AG_TWC_BV_06_I	N/A
TC_AG_CIT_BV_01_I	PASS
TC_AG_ENO_BV_01_I	PASS
TC_AG_ENO_BV_02_I	N/A
TC_AG_VRA_BV_01_I	PASS
TC_AG_VRA_BV_02_I	PASS
TC_AG_VRA_BI_01_I	PASS
TC_AG_VRD_BV_01_I	N/A
TC_AG_VTG_BV_01_I	N/A
TC_AG_TDC_BV_01_I	PASS
TC_AG_RSV_BV_01_I	PASS
TC_AG_RSV_BV_02_I	PASS
TC_AG_RSV_BV_03_I	PASS
TC_AG_RMV_BV_01_I	N/A
TC_AG_RMV_BV_02_I	N/A
TC_AG_RMV_BV_03_I	N/A
TC_AG_ECS_BV_01_I	PASS
TC_AG_ECS_BV_02_I	PASS
TC_AG_ECS_BV_03_I	PASS
TC_AG_ECC_BV_01_I	N/A
TC_AG_ECC_BV_02_I	N/A
TC_AG_ECC_BI_03_I	PASS
TC_AG_ECC_BI_04_I	PASS
TC_AG_RHH_BV_01_I	N/A
TC_AG_RHH_BV_02_I	N/A
TC_AG_RHH_BV_03_I	N/A
TC_AG_RHH_BV_04_I	N/A
TC_AG_RHH_BV_05_I	N/A
TC_AG_RHH_BV_06_I	N/A
TC_AG_RHH_BV_07_I	N/A
TC_AG_RHH_BV_08_I	N/A
TC_AG_NUM_BV_01_I	PASS
TC_AG_SLC_BV_01_C	PASS
TC_AG_SLC_BV_02_C	PASS
TC_AG_SLC_BV_03_C	PASS
TC_AG_SLC_BV_04_C	PASS
TC_AG_SLC_BV_05_I	PASS
TC_AG_SLC_BV_06_I	PASS
TC_AG_SLC_BV_07_I	PASS
TC_AG_SLC_BV_09_I	N/A
TC_AG_SLC_BV_10_I	N/A
TC_AG_ACC_BV_08_I	PASS
TC_AG_ACC_BV_09_I	PASS
TC_AG_ACC_BV_10_I	PASS
TC_AG_ACC_BV_11_I	PASS
TC_AG_ACC_BI_12_I	PASS
TC_AG_ACC_BI_13_I	PASS
TC_AG_ACC_BI_14_I	PASS
TC_AG_ACC_BV_15_I	PASS
TC_AG_WBS_BV_01_I	PASS
TC_AG_DIS_BV_01_I	PASS
TC_AG_SDP_BV_01_I	PASS
TC_AG_IIA_BV_01_I	PASS
TC_AG_IIA_BV_02_I	PASS
TC_AG_IIA_BV_03_I	N/A
TC_AG_IIA_BV_05_I	PASS
TC_AG_IID_BV_01_I	PASS
TC_AG_IID_BV_02_I	N/A
TC_AG_IID_BV_03_I	PASS
TC_AG_IID_BV_04_I	PASS
TC_AG_IIC_BV_01_I	PASS
TC_AG_IIC_BV_02_I	PASS
TC_AG_IIC_BV_03_I	PASS
TC_AG_HFI_BV_02_I	N/A
TC_AG_HFI_BV_03_I	N/A
TC_HF_OOR_BV_01_I	N/A
TC_HF_OOR_BV_02_I	N/A
TC_HF_TRS_BV_01_I	N/A
TC_HF_PSI_BV_01_I	N/A
TC_HF_PSI_BV_02_I	N/A
TC_HF_PSI_BV_03_I	N/A
TC_HF_PSI_BV_04_I	N/A
TC_HF_ACS_BV_01_I	N/A
TC_HF_ACS_BV_03_I	N/A
TC_HF_ACS_BV_05_I	N/A
TC_HF_ACS_BV_07_I	N/A
TC_HF_ACS_BV_09_I	N/A
TC_HF_ACS_BV_12_I	N/A
TC_HF_ACS_BI_13_I	N/A
TC_HF_ACR_BV_01_I	N/A
TC_HF_ACR_BV_02_I	N/A
TC_HF_CLI_BV_01_I	N/A
TC_HF_ICA_BV_01_I	N/A
TC_HF_ICA_BV_02_I	N/A
TC_HF_ICA_BV_03_I	N/A
TC_HF_ICA_BV_04_I	N/A
TC_HF_ICA_BV_05_I	N/A
TC_HF_ICA_BV_06_I	N/A
TC_HF_ICA_BV_07_I	N/A
TC_HF_ICR_BV_01_I	N/A
TC_HF_ICR_BV_02_I	N/A
TC_HF_TCA_BV_01_I	N/A
TC_HF_TCA_BV_02_I	N/A
TC_HF_TCA_BV_03_I	N/A
TC_HF_TCA_BV_04_I	N/A
TC_HF_ATH_BV_03_I	N/A
TC_HF_ATH_BV_04_I	N/A
TC_HF_ATH_BV_05_I	N/A
TC_HF_ATH_BV_06_I	N/A
TC_HF_ATH_BV_09_I	N/A
TC_HF_ATA_BV_01_I	N/A
TC_HF_ATA_BV_02_I	N/A
TC_HF_ATA_BV_03_I	N/A
TC_HF_OCN_BV_01_I	N/A
TC_HF_OCM_BV_01_I	N/A
TC_HF_OCM_BV_02_I	N/A
TC_HF_OCL_BV_01_I	N/A
TC_HF_OCL_BV_02_I	N/A
TC_HF_TWC_BV_01_I	N/A
TC_HF_TWC_BV_02_I	N/A
TC_HF_TWC_BV_03_I	N/A
TC_HF_TWC_BV_04_I	N/A
TC_HF_TWC_BV_05_I	N/A
TC_HF_TWC_BV_06_I	N/A
TC_HF_CIT_BV_01_I	N/A
TC_HF_ENO_BV_01_I	N/A
TC_HF_VRA_BV_01_I	N/A
TC_HF_VRA_BV_02_I	N/A
TC_HF_VRA_BV_03_I	N/A
TC_HF_VRD_BV_01_I	N/A
TC_HF_VTG_BV_01_I	N/A
TC_HF_TDC_BV_01_I	N/A
TC_HF_RSV_BV_01_I	N/A
TC_HF_RSV_BV_02_I	N/A
TC_HF_RSV_BV_03_I	N/A
TC_HF_RMV_BV_01_I	N/A
TC_HF_RMV_BV_02_I	N/A
TC_HF_RMV_BV_03_I	N/A
TC_HF_ECS_BV_01_I	N/A
TC_HF_ECS_BV_02_I	N/A
TC_HF_ECS_BV_03_I	N/A
TC_HF_ECC_BV_01_I	N/A
TC_HF_ECC_BV_02_I	N/A
TC_HF_RHH_BV_01_I	N/A
TC_HF_RHH_BV_02_I	N/A
TC_HF_RHH_BV_03_I	N/A
TC_HF_RHH_BV_04_I	N/A
TC_HF_RHH_BV_05_I	N/A
TC_HF_RHH_BV_06_I	N/A
TC_HF_RHH_BV_07_I	N/A
TC_HF_RHH_BV_08_I	N/A
TC_HF_NUM_BV_01_I	N/A
TC_HF_NUM_BI_01_I	N/A
TC_HF_SLC_BV_01_C	N/A
TC_HF_SLC_BV_02_C	N/A
TC_HF_SLC_BV_03_C	N/A
TC_HF_SLC_BV_04_C	N/A
TC_HF_SLC_BV_05_I	N/A
TC_HF_SLC_BV_06_I	N/A
TC_HF_SLC_BV_08_I	N/A
TC_HF_ACC_BV_01_I	N/A
TC_HF_ACC_BV_02_I	N/A
TC_HF_ACC_BV_03_I	N/A
TC_HF_ACC_BV_04_I	N/A
TC_HF_ACC_BV_05_I	N/A
TC_HF_ACC_BV_06_I	N/A
TC_HF_ACC_BV_07_I	N/A
TC_HF_WBS_BV_02_I	N/A
TC_HF_WBS_BV_03_I	N/A
TC_HF_DIS_BV_01_I	N/A
TC_HF_DIS_BV_02_I	N/A
TC_HF_SDP_BV_01_I	N/A
TC_HF_SDP_BV_02_C	N/A
TC_HF_SDP_BV_03_C	N/A
TC_HF_ATAH_BV_01_I	N/A
TC_HF_OCA_BV_01_I	N/A
TC_HF_IIA_BV_04_I	N/A
TC_AG_COD_BV_02_I	PASS
TC_AG_ATAH_BV_01_I	PASS
TC_AG_ATA_BV_03_I	PASS
TC_AG_ATH_BV_09_I	PASS
TC_AG_SDP_BV_02_C	PASS
TC_AG_SDP_BV_03_C	PASS
TC_AG_ICA_BV_07_I	PASS
